"","Variable","Ground_truth_value","Mean","Median","Mode"
"1","10^:prob_CN_missegregation",-3.69897000433602,-3.71146025998215,-3.70881964812433,-3.69618699838211
"2","1p",0.949575875736256,0.97077288492999,0.970122389034576,0.970468266116901
"3","2p",0.964342052401732,0.973419492032486,0.974333671344627,0.981421170199332
"4","3p",0.967484486050762,0.983784485308819,0.98284857249283,0.981316505173147
"5","4p",1.11716006100178,1.11578113029251,1.11619098986278,1.11694529026807
"6","5p",0.961498808481501,0.979166296166049,0.978123224007707,0.97636434894148
"7","6p",1.12125365952961,1.1110616156149,1.10543001915385,1.09640464549081
"8","7p",1.19778185957111,1.17071936340206,1.17408519453706,1.17635352253541
"9","8p",0.914696294146622,0.942224243325845,0.941895253851834,0.941721423573758
"10","9p",0.957560644636561,0.989391851170922,0.992134838830908,0.998220672955858
"11","10p",1.10149564063177,1.08986704970622,1.09037899384663,1.09246717203394
"12","11p",0.947463204314455,0.97283957706893,0.972623012504023,0.973292145103936
"13","12p",0.986317621302511,1.0014059817686,1.00024077882423,0.986525481600193
"14","13p",1.1420644893311,1.11551787699422,1.11307718612669,1.10991620862678
"15","14p",0.95164977157229,0.981624280532545,0.979980365072017,0.977584279964996
"16","15p",1.12042280882597,1.12437203697172,1.12294071753415,1.12112058816593
"17","16p",1.13662201133557,1.13158928009787,1.1290593318554,1.12487657065262
"18","17p",0.96992254038622,1.00133107494672,1.00099006464293,0.983319502788063
"19","18p",1.16457926295698,1.14912901776384,1.14792394555835,1.14514698175149
"20","19p",0.977110104725914,0.990216114263997,0.988006934533495,0.981183172542763
"21","20p",1.17550427773967,1.16408781038833,1.16388746455238,1.16176709740488
"22","21p",1.15722298542969,1.14518907730393,1.14526826043913,1.14692228135336
"23","22p",0.942635566572404,0.964379191830253,0.96418255914453,0.964730971815964
"24","Xp",1.1153207319323,1.09194814320023,1.09041571263482,1.08797532561879
