"","Variable","Title","Chromosome","Type","Lower_bound","Upper_bound","Mean","Median","Mode","Ground_truth","Sd"
"1","10^:prob_CN_missegregation","log10(prob_misseg)",NA,"CNA_probability","-5","-3",-3.5848637251529,-3.57492141450353,-3.56338684700285,-3.69897000433602,0.1114180717608
"2","1p","Selection rate - chromosome 1","1","Selection_rate","0.833333333333333","1.2",0.975814058532286,0.976729984977518,0.983081966146739,0.961699084268628,0.0202466755196068
"3","2p","Selection rate - chromosome 2","2","Selection_rate","0.833333333333333","1.2",1.09544609698211,1.09471919806459,1.09336354039071,1.08592800450278,0.0175589434869459
"4","3p","Selection rate - chromosome 3","3","Selection_rate","0.833333333333333","1.2",1.03884752475532,1.03937363317174,1.03947222509747,1.03025228965562,0.0200621416005175
"5","4p","Selection rate - chromosome 4","4","Selection_rate","0.833333333333333","1.2",1.15005423137965,1.14951642147332,1.15061935764872,1.1417012902908,0.021701067353661
"6","5p","Selection rate - chromosome 5","5","Selection_rate","0.833333333333333","1.2",0.902496469778762,0.902419786338885,0.901831759714796,0.913770154441756,0.0143242417336089
"7","6p","Selection rate - chromosome 6","6","Selection_rate","0.833333333333333","1.2",0.958115377733797,0.958181477115386,0.959858503372398,0.970029779285792,0.0190962309834534
"8","7p","Selection rate - chromosome 7","7","Selection_rate","0.833333333333333","1.2",0.888905942850902,0.889068524580632,0.890165306524283,0.906574401133888,0.0162163473223579
"9","8p","Selection rate - chromosome 8","8","Selection_rate","0.833333333333333","1.2",0.886671137798803,0.886852478681504,0.888554874112841,0.896478103563284,0.0159048320383873
"10","9p","Selection rate - chromosome 9","9","Selection_rate","0.833333333333333","1.2",1.11403398545805,1.11293392641994,1.10914871946037,1.10764277623966,0.0179788243519107
"11","10p","Selection rate - chromosome 10","10","Selection_rate","0.833333333333333","1.2",1.05659336292716,1.05695891609315,1.05772908731377,1.05700527691515,0.016369072580391
"12","11p","Selection rate - chromosome 11","11","Selection_rate","0.833333333333333","1.2",0.873527250243305,0.874456925771606,0.876114653113963,0.877034666415966,0.0171866131930601
"13","12p","Selection rate - chromosome 12","12","Selection_rate","0.833333333333333","1.2",0.904881969856934,0.905020027955273,0.905122492171059,0.910953340846325,0.0152374939476572
"14","13p","Selection rate - chromosome 13","13","Selection_rate","0.833333333333333","1.2",0.962529080878434,0.961238929881111,0.959857123454418,0.961461636769969,0.0202378964151462
"15","14p","Selection rate - chromosome 14","14","Selection_rate","0.833333333333333","1.2",0.999150732215091,0.997467967939717,0.994691792694136,0.997995476212367,0.0233196221130217
"16","15p","Selection rate - chromosome 15","15","Selection_rate","0.833333333333333","1.2",0.879342819505203,0.87965264905849,0.880296841639925,0.884600638399784,0.0156532860145529
"17","16p","Selection rate - chromosome 16","16","Selection_rate","0.833333333333333","1.2",1.07715192632121,1.07671364746974,1.07512565169841,1.07231201732066,0.0178435634783359
"18","17p","Selection rate - chromosome 17","17","Selection_rate","0.833333333333333","1.2",0.927904433126053,0.92777390418892,0.92753028548665,0.931071651988236,0.0154374985956433
"19","18p","Selection rate - chromosome 18","18","Selection_rate","0.833333333333333","1.2",1.14138279203729,1.1407261056867,1.13816515908071,1.12410599779105,0.0191253034054161
"20","19p","Selection rate - chromosome 19","19","Selection_rate","0.833333333333333","1.2",0.882906890305277,0.883597279029715,0.886005251804451,0.893546466798583,0.0172697458712236
"21","20p","Selection rate - chromosome 20","20","Selection_rate","0.833333333333333","1.2",0.898101883106541,0.898486025730256,0.899292663221857,0.902073887970773,0.0157104057079116
"22","21p","Selection rate - chromosome 21","21","Selection_rate","0.833333333333333","1.2",1.14205621900575,1.14145353107926,1.14066731082637,1.12314194411738,0.0212997942837806
"23","22p","Selection rate - chromosome 22","22","Selection_rate","0.833333333333333","1.2",1.13566191552606,1.13494074457809,1.13317210468552,1.11743991434341,0.017645073984225
